pertanyaan,jawaban
"Apa itu Program Beasiswa PUB?","PUB adalah program beasiswa penuh dari Universitas Nasional PASIM Bandung bagi lulusan SMA/SMK/MA sederajat dari keluarga muslim kurang mampu."
"jika sudah lulus pub berapa persen kita harus infak ?","20% dari penghasilan"
"Bagaimana cara untuk daftar Beasiswa PUB?","Untuk daftar beasiswa PUB bisa klik tautan disini: https://new.pubpasim.org/id"
"Bagaimana cara mendaftar Beasiswa PUB?","Pendaftaran dilakukan secara daring melalui laman resmi PUB PASIM sesuai jadwal tes penerimaan yang dibuka tiap tahun."
"Per bulan kira-kira dapat uang saku berapa?","Secara keseluruhan diberikan Rp. 150.000, yang dimana itu Rp. 100.000 untuk uang saku dan Rp.50.000 untuk uang toiletris"
"Apa saja fasilitas yang di dapatkan ketika masuk PUB?","Ternyata banyak yang kita dapatkan ketika masuk PUB seperti asrama, uang saku, makan yang terjamin, pelatihan- pelatihan dan lain-lain"
"Kapan Program PUB akan berhenti beroperasi","Bila tidak ada lagi anak anak di Indonesia yang memiliki kualifikasi tidak dapat melanjutkan kuliah"
"Mengapa infaq menjadi wajib bagi alumni pub yg sudah bekerja?","karena, dari infaq alumni itulah dana utama berjalan nya program beasiswa pub mulai dari membayar asrama, makan, uang kuliah dll. karena tanpa ada nya infaq para alumni maka program beasiswa pub tidak berjalan jalan lancar dan bisa berhenti. dan ini sangat beruntung bagi para alumni yg berinfak. mengapa demikian, dikarenakan infaq ini memiliki pahala yg sangat istimewa, yaitu pahala jariyah yg mengalir nanti nya sampai hari kiamat. Jadi kalau ada alumni yg tidak berinfak maka mereka adalah orang-orang yg zalim dan kufur nikmat."
"apa makan setiap hari ditanggung ?","ya , baik itu sarapan pagi, makan siang & malam semua ditanggung oleh PUB"
"Siapa target utama program beasiswa PUB","Siapa target utama program beasiswa PUB"
"Siapa pendiri program PUB?","Program PUB dicetuskan tahun 2002 oleh Bapak Rinalwan Buchori dan dibidani oleh Bapak Abdul Hafiz Tanjung, dengan landasan pemahaman QS. Ar Ra'd ayat 11."
"Mengapa program PUB didirikan?","PUB didirikan karena banyak lulusan SMA/SMK/MA sederajat dari keluarga muslim tidak mampu melanjutkan kuliah akibat biaya pendidikan yang tinggi."
"Apa saja fasilitas yang diberikan PUB?","Mahasiswa PUB mendapat:  Gratis biaya kuliah dari pendaftaran hingga wisuda  Asrama  Sarapan & makan harian  Uang saku  Toiletries  Pelatihan pemrograman  Pelatihan bahasa Inggris  Magang di perusahaan mitra  Penempatan kerja setelah lulus"
"urusan apa saja yang tersedia di PUB?","D3 Manajemen Informatika  S1 Teknik Informatika (diutamakan lulusan RPL & IPA)  S1 Teknik Industri  S1 Akuntansi - Konsentrasi Programming in Accounting (diutamakan lulusan Akuntansi & IPA)"
"Apakah semua mahasiswa PUB diarahkan jadi programmer?","Ya. Mahasiswa dari prodi apa pun akan mendapat pelatihan pemrograman, mulai dari dasar hingga lanjutan, dengan pilihan bahasa: Java, React, Node.js, dan .NET (C#)."
"Bagaimana sumber pendanaan PUB?","Awalnya dari zakat pemilik Yayasan PASIM, kemudian dilanjutkan dengan sistem berinfaq alumni:  Alumni D3 - infaq 20% penghasilan selama 7 tahun  Alumni S1 - infaq 20% penghasilan selama 9 tahun"
"Apa tagline dan motto PUB?","Tagline: 'Sabar Syukur Sukses, dari PUB, untuk PUB, oleh PUB.'  Motto: 'Start from PUB, Go Anywhere, Be Khairunnas.'"
"Apa persyaratan untuk mendaftar PUB?","Beragama Islam  Lulusan SMA/SMK/MA sederajat (tahun 2024-2025)  Surat Keterangan Tidak Mampu  Fotokopi KK  Pas foto 2x3 dan 3x4  Orang tua maksimal PNS golongan 2A  Mengisi formulir pendaftaran online"
